iter	RMSE
0	2224.917208
1	2049.582458
2	1890.019831
3	1743.822512
4	1610.411545
5	1488.275097
6	1377.728831
7	1274.844922
8	1181.75459
9	1098.936006
10	1020.436836
11	950.9585313
12	886.9308925
13	828.6829218
14	777.4850845
15	730.475095
16	687.6300492
17	648.966668
18	614.3787403
19	583.92432
20	555.3997085
21	530.0067436
22	507.6025397
23	486.1011428
24	468.342038
25	451.1293405
26	435.9652613
27	422.6776615
28	410.3291765
29	398.7729229
30	388.6718161
31	379.6867933
32	372.1742117
33	365.3084956
34	357.7756939
35	352.3067951
36	346.0970783
37	340.7661824
38	336.1501489
39	331.7845647
40	327.5417155
41	323.2069179
42	320.0987787
43	316.5981077
44	314.084295
45	311.2707445
46	308.7530947
47	306.6598078
48	304.7569351
49	303.2517071
50	301.617103
51	299.5938464
52	297.8943735
53	296.0874203
54	294.9094944
55	293.8670811
56	292.1734646
57	291.0190456
58	290.0826786
59	289.033794
60	288.2879589
61	287.4939486
62	286.0701319
63	285.389843
64	284.38657
65	283.5457225
66	282.9259811
67	281.8581929
68	280.8676549
69	280.365839
70	279.7743789
71	278.8764147
72	278.3109349
73	277.8231759
74	277.1278181
75	276.7307735
76	276.146508
77	275.4472055
78	275.0189586
79	274.5349313
80	274.1562387
81	273.9074007
82	273.2473588
83	272.9391443
84	272.426457
85	271.9978449
86	271.7398595
87	271.3655357
88	271.0661297
89	270.7986862
90	270.5313397
91	270.0033719
92	269.7781333
93	269.5051572
94	269.2985639
95	269.0253213
96	268.8461286
97	268.6686334
98	268.0626946
99	267.7846016
100	267.4112311
101	267.2053765
102	267.0958489
103	266.9378763
104	266.7323278
105	266.4576687
106	266.2220414
107	265.9847591
108	265.7600272
109	265.5843303
110	265.3497608
111	265.256554
112	265.1721699
113	264.9589346
114	264.8224247
115	264.6442916
116	264.4952732
117	264.3583917
118	263.9612595
119	263.8447039
120	263.772534
121	263.4288073
122	263.3242189
123	263.2443859
124	262.9991825
125	262.7308571
126	262.5358064
127	262.3544355
128	262.2237457
129	262.1062892
130	261.9163032
131	261.844223
132	261.7084488
133	261.5818109
134	261.4463305
135	261.3286328
136	261.1338252
137	260.971449
138	260.846445
139	260.7195907
140	260.6030851
141	260.3558941
142	260.1962156
143	260.1544545
144	260.0614832
145	259.9500275
146	259.8838931
147	259.7725001
148	259.6707647
149	259.6149086
150	259.4973559
151	259.451169
152	259.3786742
153	259.3108509
154	259.274519
155	259.1666542
156	259.0804724
157	258.9790885
158	258.8862084
159	258.7950821
160	258.7249828
161	258.6869187
162	258.5673676
163	258.464463
164	258.4149748
165	258.3771275
166	258.2975473
167	258.2375077
168	258.1843069
169	258.1061846
170	258.0243426
171	257.9124535
172	257.8357039
173	257.7971244
174	257.722832
175	257.654339
176	257.6109239
177	257.5132552
178	257.4403984
179	257.4042757
180	257.3289337
181	257.2572593
182	257.1663208
183	257.0977582
184	257.021893
185	256.963724
186	256.9229479
187	256.9068061
188	256.8574401
189	256.807731
190	256.7491825
191	256.6896682
192	256.6359504
193	256.6056921
194	256.4502403
195	256.3894719
196	256.323441
197	256.3010556
198	256.2684772
199	256.192706
200	256.1612808
201	256.1022755
202	256.048652
203	255.9972181
204	255.9640565
205	255.9252654
206	255.8393132
207	255.7801914
208	255.7365004
209	255.7133644
210	255.6578554
211	255.6193739
212	255.5525188
213	255.4527956
214	255.4184222
215	255.3895937
216	255.3392761
217	255.2746822
218	255.2296649
219	255.2042579
220	255.1585132
221	255.1233183
222	255.0579266
223	255.0054162
224	254.9476725
225	254.9374387
226	254.8676223
227	254.8486628
228	254.7883024
229	254.7459711
230	254.6999365
231	254.6355136
232	254.6103068
233	254.5706217
234	254.5503498
