iter	Passed	Remaining
0	24	24349
1	40	20011
2	52	17587
3	73	18274
4	98	19579
5	114	18967
6	138	19717
7	158	19625
8	172	18972
9	189	18744
10	204	18385
11	224	18482
12	237	18024
13	256	18060
14	269	17664
15	285	17570
16	301	17449
17	320	17469
18	335	17322
19	350	17159
20	368	17168
21	386	17164
22	409	17395
23	421	17154
24	436	17015
25	454	17012
26	470	16939
27	492	17084
28	509	17071
29	529	17120
30	552	17271
31	573	17346
32	589	17275
33	608	17291
34	626	17263
35	650	17421
36	671	17474
37	687	17408
38	706	17400
39	726	17437
40	744	17418
41	764	17448
42	785	17490
43	800	17392
44	814	17280
45	830	17222
46	846	17155
47	859	17055
48	877	17036
49	892	16955
50	912	16985
51	926	16898
52	942	16845
53	955	16744
54	971	16693
55	984	16603
56	1000	16553
57	1020	16573
58	1034	16498
59	1051	16476
60	1065	16399
61	1077	16295
62	1090	16224
63	1105	16173
64	1118	16090
65	1138	16107
66	1150	16023
67	1169	16022
68	1188	16033
69	1206	16024
70	1221	15976
71	1236	15931
72	1249	15862
73	1265	15834
74	1282	15813
75	1297	15777
76	1311	15721
77	1324	15650
78	1338	15610
79	1354	15578
80	1370	15553
81	1382	15480
82	1400	15469
83	1418	15463
84	1435	15448
85	1455	15464
86	1474	15470
87	1490	15451
88	1512	15480
89	1528	15454
90	1545	15434
91	1565	15445
92	1579	15403
93	1595	15379
94	1611	15347
95	1624	15296
96	1641	15284
97	1656	15250
98	1675	15252
99	1693	15237
100	1707	15201
101	1725	15189
102	1740	15159
103	1754	15119
104	1769	15079
105	1783	15039
106	1797	15001
107	1814	14984
108	1830	14960
109	1845	14928
110	1859	14893
111	1872	14845
112	1888	14821
113	1901	14776
114	1915	14739
115	1929	14702
116	1944	14673
117	1960	14655
118	1981	14668
119	1995	14631
120	2008	14591
121	2023	14561
122	2041	14556
123	2057	14533
124	2075	14527
125	2091	14506
126	2106	14481
127	2120	14443
128	2136	14425
129	2153	14410
130	2169	14393
131	2186	14379
132	2202	14358
133	2227	14397
134	2244	14379
135	2261	14365
136	2276	14339
137	2291	14314
138	2311	14318
139	2329	14310
140	2347	14303
141	2365	14293
142	2390	14324
143	2404	14292
144	2422	14283
145	2437	14256
146	2452	14233
147	2470	14220
148	2488	14212
149	2504	14193
150	2518	14160
151	2531	14123
152	2543	14083
153	2557	14051
154	2571	14017
155	2587	14001
156	2603	13981
157	2619	13957
158	2637	13950
159	2661	13970
160	2676	13948
161	2694	13937
162	2714	13938
163	2727	13906
164	2744	13891
165	2756	13847
166	2769	13816
167	2786	13800
168	2799	13764
169	2817	13756
170	2833	13735
171	2849	13716
172	2872	13733
173	2887	13708
174	2909	13716
175	2931	13726
176	2947	13702
177	2964	13691
178	2986	13699
179	2997	13655
180	3012	13631
181	3027	13605
182	3045	13595
183	3061	13578
184	3080	13569
185	3099	13562
186	3116	13547
187	3129	13517
188	3148	13510
189	3166	13497
190	3184	13489
191	3204	13486
192	3225	13486
193	3239	13457
194	3264	13478
195	3285	13477
196	3302	13462
197	3324	13465
198	3339	13443
199	3363	13453
200	3378	13429
201	3396	13416
202	3418	13422
203	3438	13415
204	3456	13403
205	3473	13389
206	3491	13375
207	3511	13371
208	3529	13357
209	3545	13337
210	3561	13319
211	3579	13305
212	3597	13292
213	3617	13288
214	3632	13264
215	3645	13232
216	3660	13208
217	3673	13177
218	3688	13153
219	3702	13127
220	3720	13115
221	3735	13089
222	3748	13060
223	3765	13046
224	3784	13033
225	3798	13008
226	3817	12998
227	3834	12984
228	3853	12975
229	3869	12954
230	3889	12947
231	3910	12946
232	3949	13002
233	3969	12995
234	4057	13207
235	4078	13202
236	4107	13224
237	4118	13187
238	4133	13160
239	4151	13146
240	4168	13127
241	4185	13109
242	4203	13093
243	4214	13057
244	4230	13035
245	4249	13025
246	4264	13001
247	4280	12978
248	4298	12964
249	4317	12951
250	4336	12940
251	4358	12935
252	4374	12916
253	4396	12911
254	4411	12887
255	4424	12858
256	4440	12838
257	4454	12810
258	4470	12789
259	4487	12771
260	4500	12742
261	4519	12730
262	4533	12702
263	4554	12697
264	4572	12683
265	4589	12664
266	4649	12764
267	4682	12788
268	4704	12784
269	4750	12843
270	4777	12850
271	4825	12915
272	4846	12906
273	4878	12927
274	4901	12922
275	4927	12924
276	4950	12921
277	4974	12918
278	4997	12915
279	5019	12908
280	5034	12881
281	5049	12857
282	5069	12842
283	5080	12809
284	5098	12789
285	5117	12775
286	5139	12768
287	5160	12757
288	5179	12743
289	5210	12757
290	5232	12748
291	5252	12735
292	5273	12724
293	5299	12726
294	5321	12716
295	5337	12695
296	5353	12671
297	5372	12655
298	5390	12637
299	5408	12620
300	5427	12604
301	5444	12584
302	5458	12556
303	5476	12538
304	5492	12516
305	5510	12497
306	5530	12483
307	5548	12467
308	5567	12451
309	5588	12439
310	5609	12426
311	5628	12411
312	5643	12386
313	5660	12366
314	5676	12345
315	5694	12325
316	5715	12315
317	5732	12294
318	5749	12273
319	5769	12260
320	5788	12243
321	5808	12231
322	5826	12211
323	5845	12197
324	5866	12185
325	5887	12171
326	5903	12150
327	5922	12133
328	5939	12114
329	5961	12103
330	5981	12089
331	5999	12072
332	6022	12062
333	6039	12043
334	6057	12023
335	6073	12002
336	6098	11997
337	6120	11987
338	6146	11985
339	6163	11963
340	6185	11953
341	6202	11933
342	6225	11924
343	6245	11910
344	6265	11894
345	6287	11884
346	6308	11871
347	6328	11856
348	6350	11845
349	6369	11828
350	6394	11822
351	6418	11816
352	6443	11810
353	6464	11797
354	6487	11788
355	6508	11774
356	6534	11768
357	6553	11752
358	6574	11739
359	6594	11723
360	6620	11718
361	6639	11701
362	6660	11688
363	6677	11667
364	6699	11655
365	6720	11641
366	6740	11626
367	6762	11614
368	6779	11593
369	6799	11577
370	6815	11554
371	6836	11541
372	6858	11528
373	6873	11504
374	6891	11485
375	6912	11472
376	6927	11447
377	6945	11429
378	6967	11416
379	6982	11393
380	7008	11386
381	7027	11369
382	7038	11338
383	7054	11316
384	7075	11303
385	7097	11289
386	7115	11271
387	7134	11252
388	7150	11231
389	7167	11210
390	7185	11192
391	7202	11171
392	7218	11149
393	7240	11136
394	7254	11110
395	7269	11087
396	7283	11062
397	7303	11047
398	7321	11028
399	7340	11010
400	7352	10983
401	7374	10969
402	7395	10955
403	7413	10937
404	7428	10912
405	7449	10899
406	7464	10876
407	7480	10854
408	7493	10827
409	7517	10818
410	7533	10795
411	7553	10780
412	7567	10756
413	7582	10732
414	7598	10711
415	7614	10689
416	7633	10671
417	7649	10650
418	7664	10628
419	7680	10606
420	7696	10585
421	7713	10564
422	7730	10545
423	7748	10525
424	7771	10514
425	7789	10496
426	7807	10477
427	7824	10456
428	7845	10442
429	7866	10427
430	7886	10412
431	7900	10388
432	7914	10364
433	7932	10345
434	7949	10325
435	7965	10303
436	7983	10284
437	8003	10268
438	8020	10248
439	8040	10233
440	8056	10212
441	8083	10204
442	8103	10188
443	8120	10168
444	8134	10145
445	8150	10124
446	8164	10100
447	8179	10078
448	8199	10062
449	8219	10045
450	8241	10032
