,price
54634,6776
75493,4584
102355,6616
21721,2415
4885,1018
180853,7445
43132,3128
167752,5813
151810,941
192937,1720
959,924
76654,4304
60388,1402
66399,2318
64085,2654
182753,1995
80333,1439
155854,7094
83924,723
108689,7917
2143,3864
31226,4854
127828,1004
12888,828
1579,798
132742,714
132237,344
60290,1814
4969,828
120192,16130
49034,2395
98192,629
151401,1107
186685,4521
15901,663
71531,1408
78668,683
163791,2444
79011,765
93764,7418
53584,478
102058,702
68994,7665
104896,3546
110933,949
56490,816
110929,498
184579,1772
61349,6974
10313,4348
193326,9050
21767,16412
65842,6552
80016,3249
72668,3249
66764,12467
93986,984
97996,665
110405,764
25830,9961
92114,3266
174717,1343
132291,17028
28307,956
183732,11188
7867,2401
186615,9714
130685,798
112386,487
80695,928
153132,684
29721,4053
189280,531
136159,4037
175805,2788
60070,4641
165447,7567
110898,1247
34023,710
158912,1007
51255,796
133998,4809
92336,6777
78017,5560
70905,1995
53560,13340
169190,2604
121634,7357
29138,957
111991,544
4738,1755
63403,6787
44988,642
79116,5301
59355,1356
100138,4484
168194,2203
181971,6369
87027,532
102411,886
100032,6874
169966,1120
150057,6974
145435,4504
71741,4194
36598,14080
15245,2396
86154,576
139259,9492
47319,4704
32943,10428
123527,5001
140411,2032
141990,7018
10609,2733
26101,600
167884,3365
156703,4956
186884,942
127018,1056
17557,9023
133289,2911
173105,2563
59653,3211
54552,4081
165968,525
49878,698
179257,816
143100,9998
12322,1318
44369,1289
18669,5285
134692,1221
163762,928
139040,2960
178831,6797
21757,8408
192346,1163
102087,10789
90232,2218
72491,8977
124075,957
167965,1776
72865,4630
179828,3437
183649,7311
23944,606
131063,2192
655,732
51682,15312
22813,2703
193060,732
104055,666
31861,11726
27825,734
173995,1976
70931,5666
15835,3250
165860,4126
144070,990
100444,1393
70923,5123
14618,764
79340,412
109027,1881
162202,909
95629,844
58574,5007
53007,6513
119859,15151
39362,801
77181,14215
113176,12940
13179,4386
49374,5699
128139,2812
65378,5000
20414,635
95455,7722
162510,16130
164730,8794
157026,880
52493,3751
162626,693
167151,2290
187185,5547
110772,2396
189242,1607
125060,6027
9289,6147
160319,9296
127907,571
115099,7503
88526,5387
128624,1097
115214,3615
69125,752
99985,2361
186458,5176
14277,490
140234,16792
115771,723
157432,7418
95720,1060
43456,8612
44018,1637
160472,963
191248,6534
168930,931
59802,3864
91542,1113
163901,7792
113003,1007
76750,694
33309,13312
123290,18659
18432,3510
41246,1792
74450,1097
38375,440
119610,865
5299,2177
175984,5077
40162,9146
169983,2239
13455,5257
127869,4317
87530,9556
58208,8505
157398,4250
180370,2218
72224,591
80830,10013
16995,1210
174046,2803
116415,3303
73941,2348
189724,957
90279,909
144668,842
34879,734
109923,754
191512,402
133492,756
59410,3624
40948,5292
81629,18760
86958,5806
160316,6589
25331,1245
55708,4884
19772,1013
24138,6303
75152,1579
93470,4827
119230,1781
189791,2596
49196,1559
26977,3936
104581,1438
1105,16817
30451,1683
78067,4129
190782,2326
181066,4972
83690,345
167352,4767
34651,8637
182656,985
101392,3534
86493,7777
5854,2777
28717,6183
32892,6851
49747,961
53071,1866
165653,817
66973,10692
80319,816
119613,1727
5263,1408
70897,921
171930,1250
170776,449
151556,403
38474,7539
148740,6698
111461,6204
75025,674
122658,2504
43624,2960
52146,1956
156012,6966
164103,1720
78624,518
66004,17474
109818,450
664,620
158392,1073
137545,6830
3153,5067
122051,3238
49994,544
80178,10043
154840,16545
102186,9948
74061,4051
109385,471
124709,12554
21039,4399
13192,10023
155323,5480
34097,1238
